"Group","BaleenWhales","ToothedWhales","Seals","Birds","Sharks_Large","Sharks_SmallMedium","Rays_Large","Rays_SmallMedium","Pelagics_Large","Pelagics_Medium","Pelagics_Small_Carniv","Pelagics_Small_Herbiv","Benthopelagics_Large","Benthopelagics_SmallMedium","Demersals_Large","Demersals_Medium","Demersals_Small","Reeffish_Large","Reeffish_Medium","Flatfish_Large","Flatfish_SmallMedium","Reeffish_Small","Bathypelagics","Bathydemersals","Jellyfish","Cephalopods","Shrimps","Lobsters_Crabs","Macrobenthos","Meiobenthos","Corals","Softcorals_Sponges_Etc","Krill","Zooplankton_Other","Phytoplankton","BenthicPlants"
"BaleenWhales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ToothedWhales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seals",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sharks_Large",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sharks_SmallMedium",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rays_Large",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rays_SmallMedium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pelagics_Large",0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pelagics_Medium",0.03,0.2,0.1,0,0.2,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pelagics_Small_Carniv",0.1,0.309,0.2,0.4,0.1,0.1,0,0,0.3,0.5,0,0,0.3,0.2,0.05,0,0,0.05,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
