"Group","Type","Biomass","PB","QB","EE","ProdCons","BioAcc","Unassim","DetInput","Detritus","Fleet1","Fleet1.disc"
"BaleenWhales",0,0.001,0.03,30,NA,NA,0,0.2,0,1,0,0
"ToothedWhales",0,0.002,0.05,40,NA,NA,0,0.2,0,1,0,0
"Seals",0,0.003,0.07,50,NA,NA,0,0.2,0,1,0,0
"Birds",0,0.001,0.1,100,NA,NA,0,0.2,0,1,0,0
"Sharks_Large",0,0.1,0.3,NA,NA,0.15,0,0.2,0,1,0.01,0
"Sharks_SmallMedium",0,0.3,0.6,NA,NA,0.2,0,0.2,0,1,0.04,0
"Rays_Large",0,0.1,0.3,NA,NA,0.15,0,0.2,0,1,0.012,0
"Rays_SmallMedium",0,0.3,0.6,NA,NA,0.2,0,0.2,0,1,0.02,0
"Pelagics_Large",0,0.4,0.3,NA,NA,0.2,0,0.2,0,1,0.05,0
"Pelagics_Medium",0,1.2,0.6,NA,NA,0.25,0,0.2,0,1,0.4,0
"Pelagics_Small_Carniv",0,5,0.6,NA,NA,0.25,0,0.2,0,1,0.1,0
"Pelagics_Small_Herbiv",0,2.5,0.6,NA,NA,0.25,0,0.2,0,1,0.1,0
"Benthopelagics_Large",0,0.2,0.3,NA,NA,0.25,0,0.2,0,0,0.05,0
"Benthopelagics_SmallMedium",0,0.4,0.6,NA,NA,0.25,0,0.2,0,0,0.2,0
"Demersals_Large",0,0.5,0.3,NA,NA,0.15,0,0.2,0,1,0.13,0
"Demersals_Medium",0,2,0.6,NA,NA,0.2,0,0.2,0,1,0.8,0
"Demersals_Small",0,5,1,NA,NA,0.25,0,0.2,0,1,0,0
"Reeffish_Large",0,0.1,0.3,NA,NA,0.15,0,0.2,0,1,0.02,0
"Reeffish_Medium",0,0.5,0.6,NA,NA,0.2,0,0.2,0,1,0.2,0
"Flatfish_Large",0,0.1,0.3,NA,NA,0.15,0,0.2,0,1,0.025,0
"Flatfish_SmallMedium",0,1,0.8,NA,NA,0.25,0,0.2,0,1,0.5,0
"Reeffish_Small",0,1,1,NA,NA,0.25,0,0.2,0,1,0,0
"Bathypelagics",0,0.5,0.5,NA,NA,0.25,0,0.2,0,1,0,0
"Bathydemersals",0,0.2,0.2,NA,NA,0.3,0,0.2,0,1,0,0
"Jellyfish",0,1,10,NA,NA,0.25,0,0.2,0,1,0,0
"Cephalopods",0,0.5,1,NA,NA,0.3,0,0.2,0,1,0.1,0
"Shrimps",0,2,2.5,NA,NA,0.3,0,0.2,0,1,0.2,0
"Lobsters_Crabs",0,0.5,2,NA,NA,0.3,0,0.2,0,1,0.4,0
"Macrobenthos",0,10,2,NA,NA,0.3,0,0.2,0,1,0.05,0
"Meiobenthos",0,15,10,NA,NA,0.3,0,0.2,0,1,0,0
"Corals",0.63,0.1,1,1.5,NA,NA,0,0.2,0,1,0,0
"Softcorals_Sponges_Etc",0,2,0.2,NA,NA,0.3,0,0.2,0,1,0,0
"Krill",0,1,5,NA,NA,0.25,0,0.2,0,1,0,0
"Zooplankton_Other",0,10,30,NA,NA,0.25,0,0.4,0,1,0,0
"Phytoplankton",1,15,150,0,NA,0,0,0,0,1,0,0
"BenthicPlants",1,2,10,0,NA,0,0,0,0,1,0,0
"Detritus",2,100,0,0,NA,0,0,0,0,0,0,0
"Fleet1",3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
