"Group","Seabirds","Whales","Seals","JuvRoundfish1","AduRoundfish1","JuvRoundfish2","AduRoundfish2","JuvFlatfish1","AduFlatfish1","JuvFlatfish2","AduFlatfish2","OtherGroundfish","Foragefish1","Foragefish2","OtherForagefish","Megabenthos","Shellfish","Macrobenthos","Zooplankton","Phytoplankton"
"Seabirds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JuvRoundfish1",NA,0.01,0.05,1e-04,NA,1e-04,1e-04,1e-04,NA,1e-04,NA,1e-04,1e-04,1e-04,1e-04,NA,NA,NA,NA,NA
"AduRoundfish1",NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA
"JuvRoundfish2",NA,0.01,0.05,1e-04,0.001,1e-04,1e-04,1e-04,NA,1e-04,NA,1e-04,1e-04,1e-04,1e-04,NA,NA,NA,NA,NA
"AduRoundfish2",NA,NA,0.2,NA,0.01,NA,NA,NA,NA,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA
"JuvFlatfish1",NA,0.01,0.005,1e-04,0.001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,NA,NA,NA,NA,NA
"AduFlatfish1",NA,NA,0.05,NA,0.05,NA,1e-04,NA,1e-04,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA
"JuvFlatfish2",NA,0.01,0.005,1e-04,0.001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,NA,NA,NA,NA,NA
"AduFlatfish2",NA,NA,0.01,NA,0.01,NA,1e-04,NA,1e-04,NA,NA,1e-04,NA,NA,NA,NA,NA,NA,NA,NA
"OtherGroundfish",0.1,NA,0.24,0.001,0.29,0.001,0.1,NA,1e-04,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"Foragefish1",0.25,NA,0.05,NA,0.1,NA,0.05,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA
"Foragefish2",0.2,NA,0.05,NA,0.1,NA,0.05,NA,NA,NA,NA,0.0992,NA,NA,NA,NA,NA,NA,NA,NA
"OtherForagefish",0.15,0.1,0.05,0.05,0.347,0.05,0.05,1e-04,0.001,1e-04,1e-04,0.3,NA,NA,NA,NA,NA,NA,NA,NA
"Megabenthos",NA,NA,0.05,1e-04,0.03,1e-04,0.2684,1e-04,0.05,1e-04,1e-04,0.15,NA,NA,NA,0.1,NA,NA,NA,NA
"Shellfish",NA,NA,0.09,NA,NA,NA,0.01,NA,0.001,NA,1e-04,0.01,NA,NA,NA,0.03,NA,0.01,NA,NA
"Macrobenthos",NA,NA,NA,0.02,0.05,0.02,0.37,0.416,0.6,0.416,0.44,0.3,NA,NA,NA,0.55,NA,0.2,NA,NA
"Zooplankton",NA,0.86,NA,0.7785,0.01,0.7785,0.001,0.4334,0.2475,0.4334,0.3895,0.01,0.8196,0.8196,0.8196,NA,0.3,0.2,0.2,NA
"Phytoplankton",NA,NA,NA,0.1,NA,0.1,NA,0.1,NA,0.1,NA,NA,0.06,0.06,0.06,NA,0.5,NA,0.6,NA
"Detritus",NA,NA,NA,0.05,NA,0.05,0.1,0.05,0.1,0.05,0.17,NA,0.12,0.12,0.12,0.32,0.2,0.59,0.2,NA
"Discards",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Import",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
