"Group","Snook0_12","Snook3_12","Snook12_48","Snook48_90","Snook90_","RedDrum0_3","RedDrum3_8","RedDrum8_18","RedDrum18_36","RedDrum36_","SeaTrout0_3","SeaTrout3_18","SeaTrout18_","SandTrout0_3","SandTrout3_12","SandTrout12_","Mullet0_6","Mullet6_18","Mullet18_","Mackrel0_3","Mackrel3_","Ladyfish0_10","Ladyfish10_","Jacks","BayAnchovy","PinFish","Spot","SilverPerch","ScaledSardine","Mojarra","ThreadfinHerring","Manhaden","Menidia_silverside_","Catfish","Bumper","CaridanShrimp","Shrimp","StoneCrab","BlueCrab","Cyprinodontids","Poecilids","Pigfish","Gobies","Rays","BenthicInvertebrates","MacroZooplankton","MicroZoolplankton","Infauna","AttachedMicroalgae","SeaGrass","Phytoplankton"
"Snook0_12",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook3_12",0,0,0,0.0020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook12_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook48_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook90_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum0_3",0,0,9.9989e-06,0.00010001,0,0,0,0,0.0010001,0,0,0,0.00010001,0,0,9.999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum3_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum8_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum18_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum36_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SeaTrout0_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050005,0,0,0,0,0,0,0,0,0
"SeaTrout3_18",0,0,0,0.024802,0.0018447,0,0,0,0,0,0,0,0.0030003,0,0,0,0,0,0,0,0.001422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SeaTrout18_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SandTrout0_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
