"Group","Type","Biomass","PB","QB","EE","ProdCons","BioAcc","Unassim","DetInput","Detritus","Gillnet_Trawl","PurseSeine","HaulSeine","Rec_HookLine","CrabTraps","CastNet","BaitTrawl","Gillnet_Trawl.disc","PurseSeine.disc","HaulSeine.disc","Rec_HookLine.disc","CrabTraps.disc","CastNet.disc","BaitTrawl.disc"
"Snook0_12",0,0.00021958,5,25.3034,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook3_12",0,0.01872,2,6.2167,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook12_48",0,0.22992,0.9,2.3434,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
"Snook48_90",0,0.099619,0.62,1.486,NA,NA,0,0.2,0,1,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0
"Snook90_",0,0.020241,0.6,1.2894,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum0_3",0,0.00027391,8,17.5025,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum3_8",0,0.0041581,3.5,5.905,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum8_18",0,0.02726,1.1,2.6343,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum18_36",0,0.10826,0.6,1.5131,NA,NA,0,0.2,0,1,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"RedDrum36_",0,0.3004,0.55,0.97904,NA,NA,0,0.2,0,1,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0
"SeaTrout0_3",0,9.0967e-05,6,23.1667,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SeaTrout3_18",0,0.025971,1.4,4.0109,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SeaTrout18_",0,0.22006,0.7,1.5997,NA,NA,0,0.2,0,1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
"SandTrout0_3",0,1.9695e-05,5,37.8657,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SandTrout3_12",0,0.0025233,1.2,8.7796,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SandTrout12_",0,0.10001,0.7,2.6997,NA,NA,0,0.2,0,1,0,0,0,0.0165,0,0,0,0,0,0,0,0,0,0
"Mullet0_6",0,0.064856,6.7,56.6577,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullet6_18",0,0.52247,1.8,18.2225,NA,NA,0,0.2,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullet18_",0,2.8006,0.8,7.9988,NA,NA,0,0.2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackrel0_3",0,1.2441e-06,4,82.4232,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackrel3_",0,0.018339,0.5,5.9901,NA,NA,0,0.2,0,1,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"Ladyfish0_10",0,0.009787,2.8,17.8409,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ladyfish10_",0,0.089,1.6,6,NA,NA,0,0.2,0,1,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"Jacks",0,NA,0.6,NA,0.6,0.3,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BayAnchovy",0,NA,2.53,14,0.6,NA,0,0.2,0,1,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
"PinFish",0,0.32,1.019,8,NA,NA,0,0.2,0,1,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
"Spot",0,0.69,1.1,12,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SilverPerch",0,0.09,1.4,9,NA,NA,0,0.2,0,1,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
"ScaledSardine",0,0.08,1.6,12.106,NA,NA,0,0.2,0,1,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
"Mojarra",0,0.1815,1.9,15,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ThreadfinHerring",0,0.0389,1.31,12.5,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manhaden",0,NA,1.2,14,0.6,NA,0,0.2,0,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"Menidia_silverside_",0,0.13644,2.3,16,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catfish",0,0.0565,0.8,7.6,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
"Bumper",0,0.037,1.2,12,NA,NA,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CaridanShrimp",0,NA,2.4,18,0.6,NA,0,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shrimp",0,0.08,5.2,19.2,NA,NA,0,0.4,0,1,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
"StoneCrab",0,NA,2,7,0.4,NA,0,0.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
