"StGroupNum","StanzaNum","GroupNum","Group","First","Last","Z","Leading"
1,1,22,Ladyfish0_10,0,9,2.8,0
1,2,23,Ladyfish10_,10,1200,1.6,1
2,1,20,Mackrel0_3,0,2,4,0
2,2,21,Mackrel3_,3,1200,0.5,1
3,1,17,Mullet0_6,0,5,6.7,0
3,2,18,Mullet6_18,6,17,1.8,0
3,3,19,Mullet18_,18,1200,0.8,1
4,1,6,RedDrum0_3,0,2,8,0
4,2,7,RedDrum3_8,3,7,3.5,0
4,3,8,RedDrum8_18,8,17,1.1,0
4,4,9,RedDrum18_36,18,35,0.6,0
4,5,10,RedDrum36_,36,1200,0.55,1
5,1,14,SandTrout0_3,0,2,5,0
5,2,15,SandTrout3_12,3,11,1.2,0
5,3,16,SandTrout12_,12,1200,0.7,1
6,1,11,SeaTrout0_3,0,2,6,0
6,2,12,SeaTrout3_18,3,17,1.4,0
6,3,13,SeaTrout18_,18,1200,0.7,1
7,1,1,Snook0_12,0,2,5,0
7,2,2,Snook3_12,3,11,2,0
7,3,3,Snook12_48,12,47,0.9,0
7,4,4,Snook48_90,48,89,0.62,0
7,5,5,Snook90_,90,1200,0.6,0
